codigo_ocorrencia,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
83097,***,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,PISTÃO,MONOMOTOR,4.0,2001.0,BRASIL,PARTICULAR,CAMPO DE MARTE - SP,MAROUM,CRUZEIRO,***,SUBSTANCIAL,4
83085,***,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,7.0,1976.0,BRASIL,TÁXI AÉREO,FAZENDA ÁGUA LIMPA,PLÁCIDO DE CASTRO,TÁXI,NÃO REGULAR,LEVE,0
83074,***,AVIÃO,EMBRAER,ERJ 190-400,E295,JATO,BIMOTOR,0.0,2022.0,BRASIL,REGULAR,VIRACOPOS,TANCREDO NEVES,INDETERMINADA,REGULAR,NENHUM,0
83063,***,AVIÃO,BOEING COMPANY,737-86N,B738,Não Informado,BIMOTOR,0.0,2006.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,REGULAR,NENHUM,0
83051,***,***,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,48.0,1999.0,BRASIL,REGULAR,PORTO URUCU,CARAUARI,TÁXI,REGULAR,NENHUM,0
83044,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,Não Informado,2022.0,BRASIL,REGULAR,SALGADO FILHO,VIRACOPOS,POUSO,REGULAR,NENHUM,0
83036,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A 600,AT76,***,***,Não Informado,Não Informado,BRASIL,REGULAR,TANCREDO NEVES,CABO FRIO,POUSO,REGULAR,NENHUM,0
83035,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,GOVERNADOR ALUÍZIO ALVES,FERNANDO DE NORONHA,POUSO,REGULAR,NENHUM,0
83033,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,160.0,0.0,BRASIL,REGULAR,PORTO SEGURO,PRESIDENTE PRUDENTE,POUSO,REGULAR,NENHUM,0
83032,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,Não Informado,Não Informado,BRASIL,REGULAR,VIRACOPOS,BRIGADEIRO LYSIAS RODRIGUES,POUSO,REGULAR,NENHUM,0
83031,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,***,BIMOTOR,Não Informado,2017.0,BRASIL,REGULAR,VAL DE CANS / JÚLIO CEZAR RIBEIRO,MARECHAL CUNHA MACHADO,POUSO,REGULAR,NENHUM,0
83030,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,***,***,Não Informado,2019.0,BRASIL,REGULAR,ALTAMIRA,VAL DE CANS / JÚLIO CEZAR RIBEIRO,POUSO,REGULAR,NENHUM,0
83029,***,AVIÃO,EMBRAER,ERJ 190-400,***,JATO,BIMOTOR,0.0,2023.0,BRASIL,REGULAR,VIRACOPOS,PRESIDENTE JUSCELINO KUBITSCHEK,DECOLAGEM,REGULAR,NENHUM,0
83028,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,***,***,Não Informado,2023.0,BRASIL,REGULAR,GUARARAPES - GILBERTO FREYRE,TANCREDO NEVES,POUSO,REGULAR,NENHUM,0
83027,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,GOVERNADOR JOSÉ RICHA,AFONSO PENA,POUSO,REGULAR,NENHUM,0
83026,***,AVIÃO,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600),AT76,TURBOÉLICE,BIMOTOR,Não Informado,2022.0,BRASIL,REGULAR,TANCREDO NEVES,CORONEL ALTINO MACHADO,POUSO,REGULAR,NENHUM,0
83025,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,Não Informado,2016.0,BRASIL,REGULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,VIRACOPOS,DECOLAGEM,REGULAR,NENHUM,0
83024,***,AVIÃO,EMBRAER,ERJ 190-400,E295,JATO,BIMOTOR,148.0,2019.0,BRASIL,REGULAR,VIRACOPOS,HERCÍLIO LUZ,POUSO,REGULAR,NENHUM,0
83012,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2011.0,BRASIL,REGULAR,CONGONHAS,AFONSO PENA,POUSO,REGULAR,NENHUM,0
83011,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT76,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,VIRACOPOS,GOVERNADOR JOSÉ RICHA,CRUZEIRO,REGULAR,NENHUM,0
83010,***,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1976.0,BRASIL,ADMINISTRAÇÃO DIRETA,SANTA MARIA,FAZENDA AERO-AMIL,POUSO,POLICIAL,LEVE,0
83008,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,2015.0,BRASIL,REGULAR,AFONSO PENA,GOVERNADOR JOSÉ RICHA,POUSO,REGULAR,NENHUM,0
83007,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,73.0,2012.0,BRASIL,REGULAR,VIRACOPOS,LEITE LOPES,POUSO,REGULAR,NENHUM,0
83001,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,0.0,2021.0,BRASIL,REGULAR,VIRACOPOS,DEPUTADO LUÍS EDUARDO MAGALHÃES,ESTACIONAMENTO,REGULAR,NENHUM,0
82997,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,160.0,0.0,BRASIL,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,GUARARAPES - GILBERTO FREYRE,DECOLAGEM,REGULAR,LEVE,0
82996,***,AVIÃO,AIRBUS S.A.S.,A320-251N,A20N,JATO,BIMOTOR,Não Informado,2016.0,BRASIL,REGULAR,PINTO MARTINS,NÃO IDENTIFICADO,DECOLAGEM,REGULAR,NENHUM,0
82995,***,AVIÃO,AIRBUS S.A.S.,A320-253N,A20N,JATO,BIMOTOR,Não Informado,2018.0,BRASIL,REGULAR,VIRACOPOS,REGIONAL HUGO CANTERGIANI,POUSO,REGULAR,NENHUM,0
82994,***,AVIÃO,AIRBUS S.A.S.,A320-253N,A20N,***,***,Não Informado,2018.0,BRASIL,REGULAR,MARECHAL CUNHA MACHADO,PREFEITO RENATO MOREIRA,POUSO,REGULAR,NENHUM,0
82993,***,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2010.0,BRASIL,REGULAR,SALGADO FILHO,AFONSO PENA,POUSO,REGULAR,LEVE,0
82992,***,AVIÃO,AIRBUS INDUSTRIE,A320-251N,A320,JATO,BIMOTOR,183.0,2017.0,BRASIL,REGULAR,VIRACOPOS,SALGADO FILHO,DECOLAGEM,REGULAR,NENHUM,0
82991,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,75.0,0.0,BRASIL,REGULAR,FRANK MILOYE MILENKOVICH,VIRACOPOS,POUSO,REGULAR,LEVE,0
