codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,localizacao
83097,ACIDENTE,PARAIBUNA,SP,31/12/2023,18:00:00,1,NÃO,INDETERMINADO,PARAIBUNA - SP
83085,INCIDENTE,RIO BRANCO,AC,13/12/2023,11:33:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO BRANCO - AC
83074,INCIDENTE,BELO HORIZONTE,MG,20/12/2023,20:00:00,1,NÃO,COLISÃO COM AVE,BELO HORIZONTE - MG
83063,INCIDENTE,BRASÍLIA,DF,29/12/2023,21:20:00,1,NÃO,COLISÃO COM AVE,BRASÍLIA - DF
83051,INCIDENTE,CARAUARI,AM,09/12/2023,18:30:00,1,NÃO,COLISÃO COM AVE,CARAUARI - AM
83044,INCIDENTE,CAMPINAS,SP,29/12/2023,23:50:00,1,NÃO,COLISÃO COM AVE,CAMPINAS - SP
83036,INCIDENTE,CABO FRIO,RJ,30/12/2023,21:47:00,1,NÃO,COLISÃO COM AVE,CABO FRIO - RJ
83035,INCIDENTE,FERNANDO DE NORONHA,PE,30/12/2023,21:00:00,1,NÃO,COLISÃO COM AVE,FERNANDO DE NORONHA - PE
83033,INCIDENTE,PRESIDENTE PRUDENTE,SP,28/12/2023,10:34:00,1,NÃO,COLISÃO COM AVE,PRESIDENTE PRUDENTE - SP
83032,INCIDENTE,PALMAS,TO,29/12/2023,05:07:00,1,NÃO,COLISÃO COM AVE,PALMAS - TO
83031,INCIDENTE,SÃO LUÍS,MA,27/12/2023,20:21:00,1,NÃO,COLISÃO COM AVE,SÃO LUÍS - MA
83030,INCIDENTE,BELÉM,PA,26/12/2023,14:35:00,1,NÃO,COLISÃO COM AVE,BELÉM - PA
83029,INCIDENTE,CAMPINAS,SP,25/12/2023,02:47:00,1,NÃO,COLISÃO COM AVE,CAMPINAS - SP
83028,INCIDENTE,CONFINS,MG,25/12/2023,08:00:00,1,NÃO,COLISÃO COM AVE,CONFINS - MG
83027,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,22/12/2023,09:45:00,1,NÃO,COLISÃO COM AVE,SÃO JOSÉ DOS PINHAIS - PR
83026,INCIDENTE,GOVERNADOR VALADARES,MG,23/12/2023,01:47:00,1,NÃO,COLISÃO COM AVE,GOVERNADOR VALADARES - MG
83025,INCIDENTE,SALVADOR,BA,21/12/2023,23:45:00,1,NÃO,COLISÃO COM AVE,SALVADOR - BA
83024,INCIDENTE,FLORIANÓPOLIS,SC,19/12/2023,14:12:00,1,NÃO,COLISÃO COM AVE,FLORIANÓPOLIS - SC
83012,INCIDENTE,CURITIBA,PR,26/12/2023,16:23:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CURITIBA - PR
83011,INCIDENTE,CAMPINAS,SP,23/12/2023,18:30:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAMPINAS - SP
83010,INCIDENTE GRAVE,BRUSQUE,SC,13/12/2023,21:05:00,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,BRUSQUE - SC
83008,INCIDENTE,LONDRINA,PR,18/12/2023,23:20:00,1,NÃO,COLISÃO COM AVE,LONDRINA - PR
83007,INCIDENTE,RIBEIRÃO PRETO,SP,17/12/2023,20:45:00,1,NÃO,COLISÃO COM AVE,RIBEIRÃO PRETO - SP
83001,INCIDENTE,SALVADOR,BA,25/12/2023,11:31:00,1,NÃO,COLISÃO COM AVE,SALVADOR - BA
82997,INCIDENTE,GUARULHOS,SP,25/11/2023,03:01:00,1,NÃO,COLISÃO COM AVE,GUARULHOS - SP
82996,INCIDENTE,FORTALEZA,CE,25/11/2023,01:15:00,1,NÃO,COLISÃO COM AVE,FORTALEZA - CE
82995,INCIDENTE,CAXIAS DO SUL,RS,26/11/2023,14:47:00,1,NÃO,COLISÃO COM AVE,CAXIAS DO SUL - RS
82994,INCIDENTE,IMPERATRIZ,MA,26/11/2023,15:00:00,1,NÃO,COLISÃO COM AVE,IMPERATRIZ - MA
